date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200417,AK,309.0,9141.0,,,36.0,,,,,128.0,c3c164894704f8aebee11fc4f6ad0bc28ccd9bcd,2020-04-17T20:00:00Z,9.0,36.0,9450.0,9450.0,9450.0,02,0.0,1.0,706.0,9.0,715.0
20200417,AL,4530.0,33318.0,,,594.0,,247.0,,148.0,,45dcb973e5afc9f133feabe69f3dd9bee397039d,2020-04-17T20:00:00Z,144.0,594.0,37848.0,37848.0,37848.0,01,11.0,41.0,1272.0,185.0,1457.0
20200417,AR,1695.0,21799.0,,83.0,,,,21.0,,593.0,00867f9f13791928c5808e7a74ea2b0977d4156b,2020-04-17T20:00:00Z,37.0,,23494.0,23494.0,23494.0,05,0.0,0.0,744.0,75.0,819.0
20200417,AS,0.0,3.0,17.0,,,,,,,,90ca343d5718470453e1b9cee714cd1df362e638,2020-04-17T20:00:00Z,,,20.0,3.0,3.0,60,0.0,0.0,0.0,0.0,0.0
20200417,AZ,4507.0,44723.0,,566.0,,285.0,,178.0,,539.0,fb9ae32e3ee2c773d7e1d5128b796e95fe258990,2020-04-17T20:00:00Z,169.0,,49230.0,49230.0,49230.0,04,19.0,0.0,1559.0,273.0,1832.0
20200417,CA,27528.0,224086.0,7200.0,4892.0,,1484.0,,,,,0848a86720c79066de7797bb7080a731c9a49879,2020-04-17T20:00:00Z,985.0,,258814.0,251614.0,251614.0,06,95.0,0.0,3868.0,1346.0,5214.0
20200417,CO,8675.0,33155.0,,858.0,1693.0,,,,,,7bfd6ed89a0f9cc44bd6bd15e24dbe0b2f78465d,2020-04-17T20:00:00Z,374.0,1693.0,41830.0,41830.0,41830.0,08,17.0,57.0,902.0,395.0,1297.0
20200417,CT,16809.0,38653.0,,1946.0,,,,,,,937ae531cbd43b25e4861134fd7b1c3d108019b8,2020-04-17T20:00:00Z,1036.0,,55462.0,55462.0,55462.0,09,65.0,0.0,1415.0,925.0,2340.0
20200417,DC,2476.0,10167.0,,313.0,,105.0,,79.0,,573.0,324321d343090fa89ad61fc4763554ddaf591b02,2020-04-17T20:00:00Z,86.0,,12643.0,12643.0,12643.0,11,5.0,0.0,367.0,126.0,493.0
20200417,DE,2323.0,11694.0,,224.0,,,,,,423.0,fa6c14a855f5d451c0d2917f1fa32b0be9c906cb,2020-04-17T20:00:00Z,61.0,,14017.0,14017.0,14017.0,10,9.0,0.0,419.0,248.0,667.0
20200417,FL,24119.0,210718.0,1285.0,,3665.0,,,,,,8a55e8a0ee83d8d7159d1859c7f34038d348c42c,2020-04-17T20:00:00Z,699.0,3665.0,236122.0,234837.0,234837.0,12,53.0,205.0,14367.0,1222.0,15589.0
20200417,GA,17194.0,54490.0,,,3324.0,,,,,,cf9cb75a5ed95172d0970a1fb552b6b3aeee75b3,2020-04-17T20:00:00Z,650.0,3324.0,71684.0,71684.0,71684.0,13,63.0,216.0,2220.0,1525.0,3745.0
20200417,GU,136.0,940.0,,6.0,,2.0,,,,97.0,00e66352d45b488be874cc6e1fae2eac242f96b1,2020-04-17T20:00:00Z,5.0,,1076.0,1076.0,1076.0,66,0.0,0.0,70.0,1.0,71.0
20200417,HI,541.0,21316.0,,,45.0,,,,,374.0,65fd57da094ad148b31cf321853505cad29cf13b,2020-04-17T20:00:00Z,9.0,45.0,21857.0,21857.0,21857.0,15,0.0,0.0,1146.0,11.0,1157.0
20200417,IA,2332.0,19460.0,,183.0,,88.0,,52.0,,1007.0,743c17c0be91e3dcd96023a0b17550b906833fd6,2020-04-17T20:00:00Z,64.0,,21792.0,21792.0,21792.0,19,4.0,0.0,926.0,191.0,1117.0
20200417,ID,1609.0,14574.0,,,148.0,,51.0,,,390.0,f668581521143edad8f8ab891e5a5c833811e568,2020-04-17T20:00:00Z,41.0,148.0,16183.0,16183.0,16183.0,16,0.0,5.0,330.0,22.0,352.0
20200417,IL,27575.0,102588.0,,4454.0,,1196.0,,777.0,,,aed86e4a64aa42a61dd9b9d90b80ddc6f0f8f313,2020-04-17T20:00:00Z,1134.0,,130163.0,130163.0,130163.0,17,62.0,0.0,5732.0,1842.0,7574.0
20200417,IN,10154.0,44631.0,,,,638.0,,417.0,,,fb891b635ab79ac5879b853cd6f286a95af310ec,2020-04-17T20:00:00Z,519.0,,54785.0,54785.0,54785.0,18,42.0,0.0,3058.0,612.0,3670.0
